source,text,date
play_store,"Great collection, excellent product quality, and fast delivery. The app is easy to use, and the products are exactly as shown. Definitely recommended for a smooth and reliable online shopping experience!",2026-08-28
play_store,great experience,2026-08-28
play_store,nice app specially their beauty finds are awesome..,2026-08-28
play_store,Sometimes we are getting duplicate items. Montra needs to take care of this.,2026-08-28
play_store,discounts are awsome,2026-08-28
play_store,The platform fee is too high; it should be reduced.,2026-08-27
play_store,"I am extremely disappointed with your service. I placed an order 10 days ago, and the item has still not been delivered. Additionally, your support team promised a refund within 20 minutes, but I have not received it yet. Kindly update me on the status of my refund immediately.💔😭",2026-08-27
play_store,it's not opening there is no open option for the application,2026-08-27
play_store,good product but not long lasting,2026-08-27
app_store,"Gorgeous. Design the fitting, clothes everything is perfect. Just love it",2026-08-28
app_store,Man baggy loose fit. Best quality products,2026-08-28
app_store,Good product. Good product,2026-08-28
app_store,Good quality maintenaning. Good,2026-08-28
